case_id,score,defect_flags,vs_deepseek_judgment,ideal_answer_skeleton,confidence,reasoning
eval-lab-v1-C03,3,shallow_answer,tied,1.同类别内小幅调整（如系统开发→系统运维）：一般不构成问题 | 2.跨大类变化（如翻译→工程设计）：实质还在资格内但更新时须说明 | 3.超出资格范围（如改做单纯体力劳动）：资格外活動风险，不能靠届出解决 | 4.超3个月从事不符合活动：触发取消事由 | 5.确认雇佣契约业务内容后找行政书士评估资格合规性,0.75,TEBIQ正确识别了核心风险（超出范围=资格外活動）并要求确认关键事实，咨询逻辑清晰。但未能解释变化程度的梯度：同类小幅调整通常没问题，跨类但还在技人国范围内的变化需要说明，完全超出才是资格外活動。DeepSeek有这个梯度分析，TEBIQ的回答对用户来说可能造成不必要的恐慌。属shallow_answer。
eval-lab-v1-C04,3,missing_fact_not_asked,tied,1.先明确：哪些材料是公司必须出的（在職証明書/决算書等）vs用户自己能取的（住民税/源泉）| 2.与公司直接沟通：说明是入管法律要求而非个人要求，强调不配合双方都受损 | 3.公司替代方案：密封传递决算书/上场企业用四季报替代等 | 4.沟通无果：以新公司内定做资格变更申请 | 5.紧急情况：找行政书士介入，评估特定活動等过渡选项,0.76,TEBIQ给出了行动框架（再沟通一次→无果则找新雇主→找行政书士），逻辑合理且有行动导向。但遗漏了哪些材料公司必须提供vs用户自己能独立取得这一区分，用户可能以为所有材料都需要公司配合。DeepSeek对此有明确说明。属missing_fact_not_asked。整体信息量相当，判定tied。
eval-lab-v1-C05,3,no_next_action,tied,1.换工作本身不违法，但有两个硬性义务：离职和入职各须14天内届出 | 2.新工作内容必须仍属技人国范围，否则需先申请变更资格再入职 | 3.更新审查时重点看新公司稳定性、报酬合理性、职务说明明确性 | 4.更新前换工作的timing风险：在留期限剩余不足时申请材料准备时间压缩 | 5.确认新公司雇用条件后建议找行政书士把关职务说明书,0.74,TEBIQ正确覆盖了在留期限确认、新工作内容匹配和14天届出义务，是个合格的答案。但没有明确给出用户离开对话后应立即做的第一件事（先确认在留期限剩余天数），属no_next_action。DeepSeek在程序流程上略更完整。整体信息密度相当，判定tied。
eval-lab-v1-C06,4,over_safe_generic,tied,1.销售工作能否符合技人国：取决于是否需要专业知识或外语能力 | 2.不符合：门店接客/收银/电话推销等单纯贩卖行为 | 3.符合：B2B方案式销售/海外业务谈判/IT系统销售（需专业知识）| 4.核心判断材料：雇佣契约书+职务内容说明书的实际业务描述 | 5.中间地带（兼有简单接客和专业提案）：风险高，须找行政书士把关,0.8,TEBIQ给出了清晰的合格vs不合格销售类型区分，直接明了，对用户决策价值高。提醒用户确认雇佣契约书的业务描述是关键行动项。结尾的行政书士建议略套路化，但整体质量与DeepSeek相当，判定tied。DeepSeek在例举的职种类型上略更完整，但不影响判断。
eval-lab-v1-C07,3,over_safe_generic,tied,1.技人国签证通常不允许餐饮现场工作（单纯劳动不符合专业知识要求）| 2.风险后果：资格外活動可能被取消在留资格（3个月连续从事的参考线）| 3.极少数例外：以专业外语能力服务外国顾客/专业主厨资格/餐饮管理职 | 4.转职必须先确认：业务内容说明书能否明确证明专业性 | 5.无法判断时：带具体职务描述找行政书士，不要先辞职再换签,0.75,TEBIQ正确给出了原则（通常不允许）和主要风险（资格外活動可能被取消），并提及3个月连续从事的参考线。结尾开放性邀请用户提供具体职务描述是好的咨询姿态。但结尾的建议比较套路化且重复。两者信息密度相当，判定tied。
eval-lab-v1-C08,4,over_safe_generic,strict_added,1.14天内：必须提交契約終了届出（义务，与找工作无关）| 2.3个月：不是硬性期限，而是入管可以启动取消程序的参考基准 | 3.契约社员/派遣/短期项目等同类职种的工作也计入活动，不局限于正社员 | 4.在留期限快到+还没找到工作：优先处理，不能等 | 5.3个月内空窗期：留存积极求职记录作为正当理由证明,0.81,TEBIQ对14天和3个月两个时间节点的区分和解释比DeepSeek更清晰，特别是3个月不是自动取消而是可以启动程序的说法更准确。关键增量是：契约社员/派遣/短期项目等同类职种工作也计入活动，这是很实用的信息，DeepSeek未提及。结尾略套路化，但整体strict_added。
eval-lab-v1-C09,3,no_next_action,tied,1.工作内容合规性优先于工资数字：新岗位是否仍是专业性工作 | 2.工资水平低于市场同类岗位：可能引发对实际工作性质的怀疑 | 3.工资与生计能力：能否独立稳定生活，有抚养者影响更大 | 4.转职后14天内：必须完成所属机构变更届出 | 5.不确定时：带雇佣合同和职种说明找行政书士确认,0.75,TEBIQ正确指出内容合规性比工资数字更重要，并覆盖了市场工资怀疑和抚养者影响两个维度，最后补了14天届出提醒。整体方向正确，与DeepSeek信息密度相当。但没有给出用户离开对话后应立即做的明确第一步，属no_next_action（先查工作内容还是先看工资？用户不清楚优先级）。判定tied。
eval-lab-v1-C10,3,missing_fact_not_asked,tied,1.公司倒闭不会即刻终止在留资格，但须立即启动应对 | 2.14天内：提交契約終了届出 | 3.3个月规则：无活动实态可被取消，倒闭不构成法律豁免 | 4.快速找同类工作：入职后提交新所属機関届出 | 5.暂时无法就职：可申请特定活動（継続就職活動），在留期限快到须优先处理,0.74,TEBIQ正确强调了3个月活动义务不因倒闭豁免这一重要点，以及在留期限临近时的紧迫性。但遗漏了特定活動（継続就職活動）这一暂时无法就职时的过渡选项，DeepSeek有提及。用户如果正在焦虑中，这个选项很关键，属missing_fact_not_asked。整体判定tied。
eval-lab-v1-D01,4,over_safe_generic,strict_added,1.家族滞在原则上不允许工作，须先取得资格外活动许可才能打工 | 2.关键前置确认：扶養者（配偶/父母）持有什么签证？特定技能1号等不允许附带家族滞在 | 3.许可后限制：每周28小时以内，严禁风俗相关工作 | 4.打工收入的税务/社保影响：可能影响抚养控除认定 | 5.正式提交前咨询行政书士确认扶養者签证类型和许可适用性,0.8,TEBIQ覆盖了资格外活动许可的必要性、28小时限制和禁止场所，并增加了一个DeepSeek未提及的重要前提：扶養者持有的签证类型（如特定技能1号）可能导致家族滞在本身不成立，进而影响许可申请。这是一个真实存在的坑，属于strict_added的事实增量。结尾建议行政书士略套路化，但整体质量高于DeepSeek。
eval-lab-v1-D02,3,over_safe_generic,tied,1.立即停止超时：恢复到28小时以内，不要继续加深违法状态 | 2.告知雇主：说明签证限制，要求调整排班 | 3.了解记录后果：超时痕迹会在住民税/源泉징收票等留下，入管可调阅 | 4.后续申请影响：更新/変更/永住申请时可能被严格审查或不许可 | 5.已被发现或担心被发现：不要隐瞒，找行政书士评估是否已构成取消事由,0.76,TEBIQ正确给出了立即停止的核心行动，并强调了超时记录对未来申请的长期影响，这是关键风险提示。但未像DeepSeek那样具体说明超时记录会通过哪些具体文件（住民税/源泉징收票）被入管发现，这是对用户很有价值的信息。结尾建议找行政书士略套路化但合理。整体信息密度相当，判定tied。
eval-lab-v1-D03,3,no_next_action,tied,1.需要申请在留资格変更许可（家族滞在→技人国等），不是自动切换 | 2.核心审查点：工作内容与学历/実務経験的对应关系 | 3.主要材料：雇佣契约书/内定通知书/公司登记簿/公司决算书/本人学历和职历证明 | 4.变更许可下来前不能全职上班（28小时外活动须停止）| 5.学历-职种不匹配时：变更许可风险高，建议事前咨询行政书士评估,0.75,TEBIQ正确覆盖了変更申请要求、学历-工作关联性审查和变更前的活动限制，咨询方向正确。但用户实际需要知道的是具体要准备哪些材料（雇佣契约书、公司登记簿、决算书、学历证明等），DeepSeek明确列出了这些，TEBIQ完全未提。属no_next_action。整体判定tied。
eval-lab-v1-D04,4,no_next_action,strict_added,1.分居本身不直接否决更新，关键是能否证明婚姻实质仍在继续 | 2.法律红线：入管法第22条之4第7号——6个月以上未从事配偶活动可被取消 | 3.分居理由是否正当（工作/照顾父母等）：正当理由下仍有通过可能 | 4.须准备：分居理由说明书+联络记录+经济往来证明+子女关系证明 | 5.确认分居时长和在留期限：临近6个月或到期不足者须立即咨询行政书士,0.82,TEBIQ明确引用了入管法第22条之4第7号及6个月规则，比DeepSeek更有法律依据的准确性。分居的即时风险（6个月可被取消，而不只是影响更新）被清晰传达。略有欠缺：没有给出需要准备的具体材料清单（分居理由说明书等），属no_next_action。整体strict_added。
eval-lab-v1-D05,3,shallow_answer,tied,1.离婚成立后：签证基础消失，14天内必须向入管报告，6个月内须变更资格 | 2.有共同子女且实际抚养：可能有资格申请定住者（最可行路径之一）| 3.婚姻持续3年以上+在日生活根基深：定住者裁量有一定空间 | 4.有工作+学历匹配：可直接申请就劳签证（技人国等） | 5.什么情况都没有：只能在期限内回国或寻求其他特殊理由,0.73,TEBIQ给出了14天报告义务和6个月规则的正确框架，并提到了定住者和技人国两个可能路径，但没有把个人情况与具体路径清晰对应（有孩子→定住者可行，有工作→技人国可行）。DeepSeek的路径图更清晰，用户看完TEBIQ知道需要更多信息，但不知道自己的情况属于哪种可能。属shallow_answer，整体判定tied。
eval-lab-v1-D06,4,over_safe_generic,strict_added,1.14天以内：离婚成立后必须向入管提交届出（法律义务）| 2.6个月规则：连续6个月未从事配偶活动可被取消，但不是自动取消 | 3.取消程序：意见听取后最多给30天出境准备期，不是等到6个月才处理 | 4.最晚3个月内开始准备变更（定住者/就劳签证等）| 5.已接近6个月或婚姻状况不确定：立即咨询行政书士做个案评估,0.8,TEBIQ清晰给出了14天和6个月两个关键时间节点，并说明取消程序有意见听取和30天出境准备期，这是DeepSeek未明确提及的程序细节，属strict_added。强调'不是等到6个月才处理'的紧迫性框架也是好的风险传达。结尾建议行政书士略套路化，但整体质量优于DeepSeek。
eval-lab-v1-D07,2,shallow_answer,regression,1.分居本身不直接导致不许可，但入管会严格审查婚姻实质性 | 2.必须准备：分居理由说明书（合理的客观原因，如工作调动/照顾父母）| 3.婚姻持续证明材料：联络记录（LINE/电话）+见面记录+经济往来（汇款等）| 4.6个月无配偶活动：资格取消事由，须在更新时积极说明 | 5.情感不和/实质离婚准备阶段：建议咨询行政书士，更新申请风险极高,0.8,TEBIQ基本停留在提问和风险警告层面（分居多久了？原因是什么？），未提供用户最需要的实质性帮助：应该准备哪些材料来证明婚姻仍在继续。DeepSeek详细列出了分居理由说明书、联络记录、经济往来证明等必要材料，这对用户准备更新有直接价值。TEBIQ的答案对准备更新的用户几乎没有可操作的指导，判定regression。
eval-lab-v1-D08,2,user_intent_misread,regression,1.适用场景：离婚后有共同未成年子女+实际抚养/配偶去世/DV等人道理由 | 2.主要材料：変更申请书/理由书（生活状况+抚养关系+生计计划）/离婚证明/子女相关证明/住民票/纳税证明/在职证明 | 3.核心材料：理由书（需说明为何必须留在日本及独立生活能力）| 4.没有子女或特殊理由：定住者通常不是可选项，须转就劳资格 | 5.个案差异大：带具体情况找行政书士前确认是否符合定住者条件,0.82,用户明确问了需要准备什么材料，TEBIQ却用大篇幅问澄清问题（什么签证/到期日/离婚状况），然后说去找行政书士，几乎没有提供任何材料指导。DeepSeek给出了完整的材料清单（申请书/理由书/离婚证明/子女证明/纳税证明等），直接回答了用户的问题。TEBIQ这里属于user_intent_misread——用户问的是材料，TEBIQ没有回答，判定regression。
eval-lab-v1-D09,3,shallow_answer,tied,1.家族滞在依附于扶養者（你）的在留资格，扶養者变更会影响其更新 | 2.可换成允许携带家属的同类资格（如技人国→高度専門職）：家人影响较小 | 3.换成特定技能1号或留学等：不允许携带家属，家人家族滞在无法更新 | 4.换签过程中你的申请失败/保留：可能波及家人的期限 | 5.変更申请前做整体家庭规划，同步确认家人是否需要单独申请,0.75,TEBIQ正确指出了换签前需整体规划家人在留资格，并给出了关键风险框架（如申请失败可能波及家人）。但缺少DeepSeek提供的具体案例——哪类签证变更对家人影响小（技人国→高度専門職），哪类会让家人无法继续（转特定技能1号）。具体例子对用户判断风险等级非常重要，属shallow_answer。整体信息密度相当，判定tied。
eval-lab-v1-D10,3,shallow_answer,tied,1.毕业后继续就职：需变更为就劳签证（技人国等），须满足学历-工作内容关联性 | 2.毕业后升学（大学院等）：若仍被扶养，通常可继续用家族滞在更新 | 3.毕业后不工作不升学：家族滞在无法以此更新，在留处于风险 | 4.成年后仍被全日制就学且被扶养：审查会关注但通常有空间 | 5.变更许可未下来前不得全职就职，须在申请审查期间内保持合法状态,0.74,TEBIQ覆盖了就职变更和无活动风险两种情景，但遗漏了毕业后继续升学（大学院/专门课程）的情景——这是家族滞在可以继续更新的路径，DeepSeek明确提及。遗漏这个选项意味着有升学意向的用户可能误以为只有就职一条路，属shallow_answer。整体信息密度相当，判定tied。
eval-lab-v1-E01,4,truncation_or_incomplete,strict_added,1.补缴不能消除事实——当初未在期限内缴纳本身会被负面评价，不是补交就解决 | 2.区分情况：未加入(国民年金) vs 滞纳 vs 免除・猶予，三种情况处理方式不同 | 3.先拿正式记录：登录ねんきんネット或年金事务所申请被保険者記録照会 | 4.有空白期但有正当理由（在校/经济困难）：理由书可能帮助减轻负面评价 | 5.确认记录后带行政书士评估申请时机，不要盲目递交,0.78,TEBIQ直接纠正了关键误解（补缴不能解决问题），并正确区分了未加入/滞纳/免除三种不同情况，这是DeepSeek未明确区分的维度，属strict_added。给出了获取正式记录的具体途径（ねんきんネット）。但答案在中途被截断（末尾'但'字悬空），属truncation_or_incomplete，影响完整性评估。
eval-lab-v1-E02,3,over_safe_generic,tied,1.晚交 = 纳税义务未适当履行，即使补交了，延迟事实本身仍会被负面评价 | 2.关键变量：发生时间是否在最近3年审查期间内 | 3.是否有延滞金记录：有则标记更明显 | 4.取纳税证明书：去区役所确认直近3年是否有延迟标记 | 5.若3年内有延迟且有延滞金：不建议立即申请，先找行政书士做书面评估,0.76,TEBIQ正确指出了晚交不等于补交后没事，给出了3个核心判断问题（时间/延滞金/其他义务情况），方向正确。但整体比DeepSeek略短，DeepSeek更明确给出了两种情景（已补交 vs 仍未纳）的不同处理建议。最后建议找行政书士略套路化，整体判定tied。
eval-lab-v1-E03,3,shallow_answer,tied,1.换工作本身不直接拒绝永住，但须立即履行14天届出义务 | 2.最关键风险：厚生年金和健康保险是否在转职期间出现哪怕一个月空档 | 3.新工作雇佣形态稳定性：正社员vs非正規会影响入管对生计稳定性的判断 | 4.新公司年收变化：若大幅下降须准备说明 | 5.递申请前：打印ねんきんネット记录+直近3年住民税証明，确认无延迟,0.74,TEBIQ正确关注了转职期间年金/健保/住民税的连续性这一最关键风险，并给出了具体的记录确认步骤。但遗漏了新工作雇佣形态稳定性（正社员vs非正規）对永住审查的影响，DeepSeek有详细说明。整体信息量相当，判定tied，shallow_answer主要体现在遗漏雇佣形态维度。
eval-lab-v1-E04,3,no_next_action,tied,1.关键优先级：先确认收入不稳定期间公共义务（年金/健保/住民税）是否有未纳或延迟 | 2.若有滞纳：这是更严重的问题，需先处理 | 3.若只是金额低：准备理由书说明原因+今后稳定性 | 4.家庭整体收入：可以把配偶收入合并计算（配偶须有合法就劳资格）| 5.提交前与行政书士评估申请可行性和时机,0.74,TEBIQ正确抓住了关键框架：公共义务履行比收入数字本身更重要，这是比DeepSeek更精准的分析角度。但TEBIQ在提供这个正确框架之后，没有给出具体的下一步行动（如何写理由书、如何利用家庭收入合并计算等），DeepSeek对这些实操细节有明确指引。属no_next_action，整体判定tied。
eval-lab-v1-E05,3,over_safe_generic,tied,1.审查核心是申请人本人的公义务，但同一世帯的配偶记录可能被连带审查 | 2.配偶为第三号被保険者（无收入依附）：年金记录跟随主被保険者，风险相对低 | 3.配偶有独立收入：其住民税、年金、健保需单独确认，有延迟则是消极材料 | 4.前配偶（已离婚）：原则上不延伸审查，但未履行抚养费可能影响素行评价 | 5.配偶有过延迟记录：申请前找行政书士做整体评估,0.75,TEBIQ正确区分了配偶依附型（第三号被保険者）和独立就劳型的不同情况，并强调了世帯内连带审查的可能性，这比DeepSeek更完整。但DeepSeek的前配偶情况（离婚后抚养费未履行可能影响素行）是一个遗漏点，属missing_fact_not_asked。整体信息密度相当，判定tied。
eval-lab-v1-E06,4,over_safe_generic,strict_added,1.关键隐患：公司搬迁后是否在14天内向入管提交所属機関届出（常被忽略的法定义务）| 2.届出未提交：永住审查时可能被视为未遵守法令义务，产生消极评价 | 3.住民税缴纳地变动：若跨市区町村，需确认两地的纳税证明能覆盖完整期间 | 4.申请材料一致性：在职证明、登记事项证明上的地址须与届出地址一致 | 5.届出记录全面筛查后再提交永住申请,0.82,TEBIQ正确识别了真正的隐患——14天内的所属機関届出义务，大多数人搬公司以为不需要处理但实际上是法定义务，遗漏会在永住审查中被负面评价。DeepSeek的答案完全没有提到这个义务，只说材料一致就好。TEBIQ的回答对用户有更高的实际价值，判定strict_added。结尾找行政书士建议略套路化。
eval-lab-v1-E07,4,over_safe_generic,strict_added,1.法律上无强制等待期，但无实质改善立即再申请通常无意义 | 2.第一步：去入管窗口确认不许可理由（带在留卡和护照）| 3.改善审查周期：年金・健保需看最近2年，住民税需看最近3年，改善记录需积累足够长度 | 4.实务参考：改善后至少等待1-2年再申请，但取决于个案 | 5.关键前置：确认当前在留期限——若即将到期须优先更新在留，避免非法滞留,0.8,TEBIQ在DeepSeek基础上增加了一个重要的实用提醒：不许可后当前在留期限可能即将到期，此时优先任务是更新现有在留资格而非立刻重新申请永住，否则可能陷入非法滞留。这是DeepSeek未提及的重要风险点，属strict_added。结尾建议略套路化，但整体答案质量高。
eval-lab-v1-E08,3,no_next_action,tied,1.换工作本身不被禁止，但在审查期间换工作需特别谨慎 | 2.最关键风险：新公司从入职当月必须无缝接入厚生年金和健康保险，绝不能出现哪怕一天空档 | 3.在留资格匹配：换工作须仍在同一在留资格范围内，否则须先申请变更资格 | 4.向入管追加材料：换职后须提交新在职证明、新工资明细等 | 5.换职前咨询行政书士：确认具体情况不会影响审查进展,0.74,TEBIQ正确关注了公义务连续性（年金/健保不能有断档）这一永住审查的核心，这是最关键的风险点。但缺少对入管追加材料流程的说明（DS明确列出了需要追加什么），用户不知道换职后在实操上需要做什么通知动作。属no_next_action。两者整体信息密度相当，判定tied。
eval-lab-v1-E09,3,over_safe_generic,tied,1.搬家本身不影响审查结果，但须及时处理相关义务 | 2.14天内：区役所办理転出/転入届，更新住民票地址 | 3.同时通知入管：向审查中的管辖局报告新住址（可邮寄/窗口/有时可传真）| 4.住民税和健保地址同步更新：确保纳税证明覆盖新旧两地无断档 | 5.保留已通知入管的记录，以防后续联系出现问题,0.73,TEBIQ覆盖了住民票更新、入管通知、住民税地址一致性等主要手续，整体方向正确，添加了健保地址联动的细节。但DeepSeek更清晰地列出了两步手续（入管 + 市区町村），且强调了保留通知记录的重要性。整体信息量相当，判定tied。结尾略套路化。
eval-lab-v1-E10,3,over_safe_generic,tied,1.健保晚交 = 公的義務未适正履行，最近2年记录内的延迟会被消极评价 | 2.区分情况：是否在审查对象的2年内 / 晚交时间长短 / 是否反复发生 | 3.先获取正式记录：去市区町村役场打印最近2年健保缴纳明细，确认是否有延迟标记 | 4.已补交但有延滞记录：不建议立即申请，先咨询行政书士评估可行性 | 5.仍有未纳：立即补缴，但补缴后仍需等待足够的无问题记录期再申请,0.73,TEBIQ正确指出了2年审查期限和延迟次数频率的重要性，给出了核实记录的具体步骤。整体与DeepSeek覆盖相似内容。DeepSeek更明确区分了'已补交有延迟标记'vs'仍有未纳'两种情景的不同处理建议，TEBIQ的分类稍欠具体。最后建议略套路化，整体tied。
eval-lab-v1-F01,3,no_next_action,tied,1.立即联系入管审查部门：说明无法按期提交的理由，请求延期 | 2.先提交已有材料+理由书：告知剩余材料预计取得时间，比什么都不做强 | 3.复合风险：若在留期限也快到，补材料期限和签证到期双重压力，须优先确认 | 4.合理理由（海外寄送/翻译需时）：入管通常可接受书面说明+延期申请 | 5.不要什么都不做：擅自让期限过去等于申请被按现有材料裁决,0.76,TEBIQ正确识别了在留期限与补材料期限的复合风险，这是DeepSeek未明确提及的重要维度。但TEBIQ未提供最实用的战术：'先把手头已有材料连同说明信一起提交'——这个'先交一部分'的策略在实务中很有效，DeepSeek明确给出了这个建议，TEBIQ没有。属no_next_action。整体信息密度相当，判定tied。
eval-lab-v1-F02,3,no_next_action,tied,1.今天内立即联系：打电话给通知书上注明的审查部门，说明受付番号+超期原因 | 2.申请被撤回前：如果审查尚未结论，坦诚说明并请求补交机会 | 3.在留期限状态：确认目前在留卡上的期限——若已过期，即刻进入非法滞留状态 | 4.若已被不许可：转入不许可处理流程（参考不许可通知程序）| 5.立即找行政书士介入：超期情况个案差异大，专业人士介入比自己处理更有效,0.74,TEBIQ正确提示了撤回（取り下げ）和オーバーステイ的风险，这是重要的危机意识。但在最关键的行动指导上，DeepSeek比TEBIQ更具体：告知了打电话时说什么（受付番号+超期理由），以及如果材料准备好了当天或第二天就要送去。TEBIQ只说'今天内联系'但没说怎么联系和说什么。属no_next_action。整体判定tied。
